"Virus","HostOrder","vFamily","vSegmentedTF","vCytoReplicTF","vGenomeAveLength","vEnvelope","vSSoDS","IsZoonotic"
"african_green_monkey_simian_foamy_virus","primates","Retroviridae",0,0,13111,1,1,0
"african_green_monkey_simian_foamy_virus","primates","Retroviridae",0,0,13111,1,1,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","artiodactyla","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","carnivora","Reoviridae",1,1,19200,0,0,0
"african_horse_sickness_virus","perissodactyla","Reoviridae",1,1,19200,0,0,0
"apoi_virus","primates","Flaviviridae",0,1,10116,1,1,0
"apoi_virus","rodentia","Flaviviridae",0,1,10116,1,1,0
"apoi_virus","rodentia","Flaviviridae",0,1,10116,1,1,0
"apoi_virus","rodentia","Flaviviridae",0,1,10116,1,1,0
"apoi_virus","primates","Flaviviridae",0,1,10116,1,1,0
"aroa_virus","rodentia","Flaviviridae",0,1,10248,1,1,1
"aroa_virus","primates","Flaviviridae",0,1,10248,1,1,1
"aroa_virus","rodentia","Flaviviridae",0,1,10248,1,1,1
"aroa_virus","rodentia","Flaviviridae",0,1,10248,1,1,1
"aroa_virus","primates","Flaviviridae",0,1,10248,1,1,1
"aroa_virus","rodentia","Flaviviridae",0,1,10248,1,1,1
"aroa_virus","primates","Flaviviridae",0,1,10248,1,1,1
"aroa_virus","rodentia","Flaviviridae",0,1,10248,1,1,1
"aura_virus","primates","Togaviridae",0,1,11824,1,1,1
"aura_virus","perissodactyla","Togaviridae",0,1,11824,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","primates","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","perissodactyla","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
"australian_bat_lyssavirus","chiroptera","Rhabdoviridae",0,1,11822,1,1,1
